Region,Provincia,Pendiente,Verificados,Porcentaje
Ozama,Distrito Nacional,127785,5455,4.27
Ozama,Santo Domingo,408952,12686,3.10
Cibao Norte,Santiago,82726,13320,16.10
Cibao Sur,La Vega,47467,1848,3.89
El Valle,Azua,19356,2189,11.31
Valdesia,San José de Ocoa,4230,496,11.73
Valdesia,San Cristóbal,69374,5553,8.00
Valdesia,Peravia,18175,1609,8.85
Enriquillo,Barahona,18858,806,4.27
Enriquillo,Bahoruco,10821,777,7.18
Yuma,La Altagracia,32337,1125,3.48
Higuamo,San Pedro de Macorís,24363,6846,28.10
Higuamo,Monte Plata,18875,1460,7.74
Cibao Nordeste,Duarte,27219,3417,12.56
Cibao Nordeste,Samaná,8840,1249,14.13
